id,parentId,type,name,mapping,exclude
1,,category,Flight Control Surfaces,,0
2,1,mapping,Ailerons Axis,[LS:X],0
3,1,mapping,Elevator Axis,[LS:Y],0
4,1,mapping,Rudder Axis Left,[LT],0
5,1,mapping,Rudder Axis Right,[RT],0
6,1,mapping,Decrease Flaps,[B]+[▲],0
7,1,mapping,Increase Flaps,[B]+[▼],0
8,1,mapping,Toggle Spoilers,[B]+[▶],0
9,1,mapping,Toggle Arm Spoilers,[B]+[Y]+[▶],0
10,1,mapping,Elevator Trim Down,[Y],0
11,1,mapping,Elevator Trim Up,[X],0
12,1,mapping,Aileron Trim,[B]+[LS:X],0
13,1,mapping,Set Aileron Trim (0),[B]+[LS:Y],0
14,1,mapping,Rudder Trim,[B]+[Y]+[LS:X],0
15,1,mapping,Rudder Trim Reset,[B]+[Y]+[LS:Y],0
16,,category,Power Management,,0
17,16,category,Throttle,,0
18,17,mapping,Decrease Throttle,[LB],0
19,17,mapping,Increase Throttle,[RB],0
20,17,mapping,Throttle Next Detent,[B]+[RB],0
21,17,mapping,Throttle Prev Detent,[B]+[LB],0
22,17,mapping,Arm Autothrottle,[LB]+[RB],0
23,17,mapping,Autothrottle TOGA,[B]+[LB]+[RB],0
24,17,mapping,Toggle Reverse Thrust,[B]+[◀],0
25,16,category,Mixture,,0
26,25,mapping,Decrease Mixture,[B]+[Y]+[LB],0
27,25,mapping,Increase Mixture,[B]+[Y]+[RB],0
28,25,mapping,Set Best Mixture,[B]+[Y]+[LB]+[RB],0
29,16,category,Propeller,,0
30,29,mapping,Decrease Propeller Pitch,[A]+[◀],0
31,29,mapping,Increase Propeller Pitch,[A]+[▶],0
32,,category,Instruments And Systems,,0
33,32,category,Cockpit Interaction,,0
34,33,mapping,Interaction Toggle,[A]+[LS],0
35,33,mapping,Cursor Toggle,[B]+[LS],0
36,33,mapping,Primary Action,[A],0
37,33,mapping,Secondary Action,[X],0
38,33,mapping,Tertiary Action,[Y],0
39,32,category,Flight Instruments,,0
40,39,mapping,Decrease Altimeter,[A]+[▲],0
41,39,mapping,Increase Altimeter,[A]+[▼],0
42,39,mapping,Decrease Heading BUG,[B]+[LT],0
43,39,mapping,Increase Heading BUG,[B]+[RT],0
44,39,mapping,Set AP Current HDG,[B]+[LT]+[RT],0
45,32,category,Brakes And Landing Gears,,0
46,45,mapping,Brakes,[A],0
47,45,mapping,Toggle Parking Brakes,[B]+[A],0
48,45,mapping,Toggle Landing Gear,[LS],0
49,45,mapping,Toggle Water Rudder,[B]+[◀],0
50,32,category,Interior Lights,,0
51,50,mapping,Toggle Flashlight,[B]+[Y]+[LS],0
52,32,category,Gimmics,,0
53,52,mapping,Auto Start Engine,[A]+[RB]+[▲],0
54,52,mapping,Stop Engine,[A]+[RB]+[▼],0
55,52,mapping,Smoke/TailHook/Spray,[B]+[Y]+[▼],0
56,,category,Player Character,,0
57,56,mapping,Take Controll Character,[◀▼]+[RS],0
58,56,mapping,Chara Cursor Mode,[LS],0
59,56,mapping,Interact,[A],0
60,56,mapping,Toggle Crouch,[X],0
61,56,mapping,Set Run,[RT],0
62,,category,Autopilot,,0
63,62,mapping,Toggle Flight Director,[A]+[X]+[Start],0
64,62,mapping,Toggle Yaw Damper,[A]+[X]+[Back],0
65,62,mapping,Toggle AP Master,[A]+[X]+[LS],0
66,62,mapping,Toggle AP Heading Hold,[A]+[X]+[LT]+[RT],0
67,62,mapping,AP NAV1 Hold,[A]+[X]+[▶],0
68,62,mapping,Toggle AP Approach Hold,[A]+[X]+[◀],0
69,62,mapping,Decrease AP Ref Altitude,[A]+[X]+[▲],0
70,62,mapping,Increase AP Ref Altitude,[A]+[X]+[▼],0
71,62,mapping,Toggle AP VS Hold,[A]+[LB]+[RB],0
72,62,mapping,Toggle AP FLC,[A]+[X]+[LB]+[RB],0
73,62,mapping,Dec AP Ref AirSpeed,[A]+[X]+[LB],0
74,62,mapping,Inc AP Ref AirSpeed,[A]+[X]+[RB],0
75,62,mapping,Decrease AP Ref VS,[A]+[X]+[LB],0
76,62,mapping,Increase AP Ref VS,[A]+[X]+[RB],0
77,,category,Communication,,0
78,77,mapping,TogglePushback,[RP1]+[RT],0
79,77,mapping,Open Comm Panel,[RP1]+[LB],0
80,77,mapping,Quick Reply,[RP1]+[RB],0
81,77,mapping,ATC Panel Choice1,[RP1]+[Y],0
82,77,mapping,ATC Panel Choice2,[RP1]+[B],0
83,77,mapping,ATC Panel Choice3,[RP1]+[A],0
84,77,mapping,ATC Panel Choice4,[RP1]+[X],0
85,77,mapping,ATC Panel Choice5,[RP1]+[▲],0
86,77,mapping,ATC Panel Choice6,[RP1]+[▶],0
87,77,mapping,ATC Panel Choice7,[RP1]+[▼],0
88,77,mapping,ATC Panel Choice8,[RP1]+[◀],0
89,77,mapping,ATC Panel Choice9,[RP1]+[Start],0
90,77,mapping,ATC Panel Choice0,[RP1]+[Back],0
91,,category,Menu,,0
92,91,mapping,Toggle Active Pause,[Start],0
93,91,mapping,Toggle Pause,[B]+[Start],0
94,91,mapping,Toggle EFB,[A]+[Back],0
95,,category,Camera,,0
96,95,mapping,Cockpit/Ext View Mode,[Back],0
97,95,mapping,Toggle Drone,[B]+[Back],0
98,95,mapping,Toggle Slew Mode,[B]+[Y]+[Back],0
99,95,category,Cockpit Camera,,0
100,99,mapping,Reset Cockpit View,[RS],0
101,99,mapping,Prev Pilot Position,[▼],0
102,99,mapping,Next Pilot Position,[▲],0
103,99,mapping,Prev Instrument View,[◀],0
104,99,mapping,Next Instrument View,[▶],0
105,99,mapping,Zoom Cockpit View,[B]+[Y]+[RT],0
106,99,mapping,Unzoom Cockpit View,[B]+[Y]+[LT],0
107,99,mapping,Toggle Cockpit Freelook,[A]+[LB],0
108,99,mapping,Toggle HUD View,[A]+[LB]+[▲],0
109,99,mapping,Cockpit Quickview Left,[A]+[LB]+[◀],0
110,99,mapping,Cockpit Quickview Right,[A]+[LB]+[▶],0
111,99,mapping,Load Next Custom Cam,[A]+[LB]+[▼],0
112,95,category,Smart Camera,,0
113,112,mapping,Toggle Smart Camera,[X]+[Y],0
114,112,mapping,Prev Smartcam Target,[X]+[Y]+[◀],0
115,112,mapping,Next Smartcam Target,[X]+[Y]+[▶],0
116,112,mapping,Reset Smartcam Target,[X]+[Y]+[▼],0
117,112,mapping,Select Next POI,[X]+[Y]+[▲],0
118,95,category,Slew Mode,,0
119,118,mapping,Slew Roll,[LB]+[RS:X],0
120,118,mapping,Slew Translate Down,[LT],0
121,118,mapping,Slew Translate Up,[RT],0
122,,category,Drone,,0
123,122,mapping,Toggle Drone,[B]+[Back],0
124,122,mapping,Toggle DroneFollowMode,[A],0
125,122,mapping,Toggle Drone Lock Mode,[B],0
126,122,mapping,Attach DroneNextTarget,[▶],0
127,122,mapping,Attach DronePrevTarget,[◀],0
128,122,mapping,Lock DroneNextTarget,[▲],0
129,122,mapping,Lock DronePrevTarget,[▼],0
130,122,mapping,Set Drone Target,[X]+[LS],0
131,122,mapping,Reset DroneTargetOffset,[LS],0
132,122,mapping,Translate Drone,[LS:XY],0
133,122,mapping,Translate Drone Down,[LT],0
134,122,mapping,Translate Drone Up,[RT],0
135,122,mapping,Dec Drone Rotation SPD,[Y]+[▼],0
136,122,mapping,Inc Drone Rotation SPD,[Y]+[▲],0
137,122,mapping,Dec Drone Trans SPD,[Y]+[◀],0
138,122,mapping,Inc Drone Trans SPD,[Y]+[▶],0
139,122,mapping,Drone Pitch Axis,[RS:Y],0
140,122,mapping,Drone Yaw Axis,[RS:X],0
141,122,mapping,Drone Roll Axis,[LB]+[RS:X],0
142,122,mapping,Reset Drone Roll,[RS],0
143,122,mapping,Increase Drone Zoom,[Y]+[RT],0
144,122,mapping,Decrease Drone Zoom,[Y]+[LT],0
145,122,mapping,Drone Top Down View,[X]+[Y],0
146,122,category,Camera Effect,,0
147,146,mapping,Dec Drone Depth of Field,[LB]+[◀],0
148,146,mapping,Inc Drone Depth of Field,[LB]+[▶],0
149,146,mapping,Dec Drone Exposure,[LB]+[▼],0
150,146,mapping,Inc Drone Exposure,[LB]+[▲],0
151,146,mapping,Toggle Drone DoF,[X]+[◀],0
152,146,mapping,Toggle Drone AE,[X]+[▲],0
153,146,mapping,Toggle Foreground Blur,[X]+[▶],0
154,146,mapping,Toggle Drone Auto Focus,[X]+[▼],0
155,,category,Photo Mode,,0
156,155,mapping,Photo Mode Toggle,[▼▶],0
157,155,mapping,Take Picture,[A],0
158,155,mapping,Photo Mode Off,[B],0
159,155,mapping,Translate X/Z Axis,[LS:XY],0
160,155,mapping,Move Down,[LT],0
161,155,mapping,Move Up,[RT],0
162,155,mapping,Zoom In,[Y]+[RT],0
163,155,mapping,Zoom Out,[Y]+[LT],0
164,155,mapping,Rotate X/Y Axis,[RS:XY],0
165,155,mapping,Rotate Z Axis,[LB]+[RS:X],0
166,155,mapping,Reset Horizon,[RS],0
167,155,category,Camera Effect,,0
168,167,mapping,Toggle Auto Exposure,[X]+[▲],0
169,167,mapping,Decrease Exposure,[LB]+[▼],0
170,167,mapping,Increase Exposure,[LB]+[▲],0
