id,parentId,type,name,mapping,exclude
333,,category,MSFS2024 Default Controls,,0
334,333,mapping,Converted from Gamepad 2024 Planes + Transversal XML,,1
1,,category,AIRCRAFT,,0
2,1,mapping,Autopilot Disengage Toggle,[RB][▲],0
3,1,mapping,Elev Trim Dn,[RB][RS:Y],0
4,1,mapping,Elev Trim Up,[RB][RS:Y],0
5,1,mapping,Flaps Decr,[▲],0
6,1,mapping,Flaps Incr,[▼],0
7,1,mapping,Gear Toggle,[▶],0
8,1,mapping,Parking Brakes,[RB][X],0
9,1,mapping,Smoke Toggle,[Y],0
10,1,mapping,Spoilers Toggle,[RB][Y],0
11,1,mapping,Spray Toggle,[Y],0
12,1,mapping,Throttle Cut,[RB][B],0
13,1,mapping,Throttle Full,[RB][A],0
14,,category,BASIC_CONTROL,,0
15,14,mapping,Brakes,[X],0
16,,category,INSTRUMENTS_CONTROL,,0
17,16,mapping,Engine Auto Shutdown,Hold [RB][▼],0
18,16,mapping,Engine Auto Start,[RB][▼],0
19,,category,PLANE,,0
20,19,mapping,Firefighting Scoop Doors,[Y],0
21,19,mapping,G Limiter Toggle,[RB][▲],0
22,19,mapping,Grapple Hook Toggle,[RB][Y],0
23,19,mapping,Lead Pole Toggle,[Y],0
24,19,mapping,Skydive Doorlights Dec,[Y],0
25,19,mapping,Skydive Doorlights Inc,[RB][Y],0
26,19,mapping,Toggle Tail Hook Handle,[RB][▶],0
27,19,mapping,Toggle Water Rudder,[RB][▶],0
28,,category,RUDDER_AXIS,,0
29,28,mapping,Rudder Axis Minus,[LT],0
30,28,mapping,Rudder Axis Plus,[RT],0
31,,category,SURFACES,,0
32,31,mapping,Axis Ailerons Set,[LS:X],0
33,31,mapping,Axis Elevator Set,[LS:Y],0
34,,category,THROTTLE,,0
35,34,mapping,Throttle Decr,[B],0
36,34,mapping,Throttle Incr,[A],0
37,,category,ALWAYS,,0
38,37,mapping,Debug Telemetry,[Back][Start][LT][RT],0
39,37,mapping,Force Safe Boot,[Start],0
40,37,mapping,Menu Sr Efb Toggle,[LB][Back],0
41,37,mapping,Reset Camera Vr,[RS],0
42,,category,COCKPIT_CAMERA,,0
43,42,mapping,Cockpit Mode Hold,[LB],0
44,42,mapping,Cockpit Quickview3,[LB][▶],0
45,42,mapping,Cockpit Quickview4,[LB][◀],0
46,,category,COCKPIT_GLOBAL_CAMERA,,0
47,46,mapping,Cockpit Look Down,[RS:Y],0
48,46,mapping,Cockpit Look Left,[RS:X],0
49,46,mapping,Cockpit Look Right,[RS:X],0
50,46,mapping,Cockpit Look Up,[RS:Y],0
51,,category,COCKPIT_GLOBAL_CAMERA_TRANSLATE,,0
52,51,mapping,Cockpit Camera Height Dec Lockable,[LT],0
53,51,mapping,Cockpit Camera Height Inc Lockable,[RT],0
54,51,mapping,Cockpit Camera Slide Back Lockable,[LS:Y],0
55,51,mapping,Cockpit Camera Slide Front Lockable,[LS:Y],0
56,51,mapping,Cockpit Camera Slide Left Lockable,[LS:X],0
57,51,mapping,Cockpit Camera Slide Right Lockable,[LS:X],0
58,,category,COCKPIT_INTERACTIONS_LOCK,,0
59,58,mapping,Cockpit Interaction Decrease Lockable,[LT],0
60,58,mapping,Cockpit Interaction Increase Lockable,[RT],0
61,58,mapping,Cockpit Interaction Primary Lockable,[A],0
62,58,mapping,Cockpit Interaction Secondary Lockable,[X],0
63,58,mapping,Cockpit Interaction Tertiary Lockable,[Y],0
64,58,mapping,Cockpit Interaction X Axis Lockable,[RS:X],0
65,58,mapping,Cockpit Interaction Y Axis Lockable,[RS:Y],0
