id,parentId,type,name,mapping
1,,category,Flight Control Surfaces,
2,1,mapping,Ailerons Axis,[LS:X]
3,1,mapping,Elevator Axis,[LS:Y]
4,1,mapping,Rudder Axis Left,[LT]
5,1,mapping,Rudder Axis Right,[RT]
6,1,mapping,Decrease Flaps,[B[]▲]
7,1,mapping,Increase Flaps,[B[]▼]
8,1,mapping,Toggle Spoilers,[B[]▶]
9,1,mapping,Toggle Arm Spoilers,[B][Y][▶]
10,1,mapping,Elevator Trim Down,[Y]
11,1,mapping,Elevator Trim Up,[X]
12,1,mapping,Aileron Trim,[B][LS:X]
13,1,mapping,Set Aileron Trim (0),[B][LS:Y]
14,1,mapping,Rudder Trim,[B][Y][LS:X]
15,1,mapping,Rudder Trim Reset,[B][Y][LS:Y]
16,,category,Power Management,
17,16,category,Throttle,
18,17,mapping,Decrease Throttle,[LB]
19,17,mapping,Increase Throttle,[RB]
20,17,mapping,Throttle Next Detent,[B][RB]
21,17,mapping,Throttle Prev Detent,[B][LB]
22,17,mapping,Arm Autothrottle,[LB][RB]
23,17,mapping,Autothrottle TOGA,[B][LB][RB]
24,17,mapping,Toggle Reverse Thrust,[B][◀]
25,16,category,Mixture,
26,25,mapping,Decrease Mixture,[B][Y][LB]
27,25,mapping,Increase Mixture,[B][Y][RB]
28,25,mapping,Set Best Mixture,[B][Y][LB][RB]
29,16,category,Propeller,
30,29,mapping,Decrease Propeller Pitch,[A][◀]
31,29,mapping,Increase Propeller Pitch,[A][▶]
32,,category,Instruments And Systems,
33,32,category,Cockpit Interaction,
34,33,mapping,Interaction Toggle,[A][LS]
35,33,mapping,Cursor Toggle,[B][LS]
36,33,mapping,Primary Action,[A]
37,33,mapping,Secondary Action,[X]
38,33,mapping,Tertiary Action,[Y]
39,32,category,Flight Instruments,
40,39,mapping,Decrease Altimeter,[A][▲]
41,39,mapping,Increase Altimeter,[A][▼]
42,39,mapping,Decrease Heading BUG,[B][LT]
43,39,mapping,Increase Heading BUG,[B][RT]
44,39,mapping,Set AP Current HDG,[B][LT][RT]
45,32,category,Brakes And Landing Gears,
46,45,mapping,Brakes,[A]
47,45,mapping,Toggle Parking Brakes,[B][A]
48,45,mapping,Toggle Landing Gear,[LS]
49,45,mapping,Toggle Water Rudder,[B][◀]
50,32,category,Interior Lights,
51,50,mapping,Toggle Flashlight,[B][Y][LS]
52,32,category,Gimmics,
53,52,mapping,Auto Start Engine,[A][RB][▲]
54,52,mapping,Stop Engine,[A][RB][▼]
55,52,mapping,Smoke/TailHook/Spray,[B][Y][▼]
56,,category,Player Character,
57,56,mapping,Take Controll Character,[◀▼][RS]
58,56,mapping,Chara Cursor Mode,[LS]
59,56,mapping,Interact,[A]
60,56,mapping,Toggle Crouch,[X]
61,56,mapping,Set Run,[RT]
62,,category,Autopilot,
63,62,mapping,Toggle Flight Director,[A][X][Start]
64,62,mapping,Toggle Yaw Damper,[A][X][Back]
65,62,mapping,Toggle AP Master,[A][X][LS]
66,62,mapping,Toggle AP Heading Hold,[A][X][LT][RT]
67,62,mapping,AP NAV1 Hold,[A][X][▶]
68,62,mapping,Toggle AP Approach Hold,[A][X][◀]
69,62,mapping,Decrease AP Ref Altitude,[A][X][▲]
70,62,mapping,Increase AP Ref Altitude,[A][X][▼]
71,62,mapping,Toggle AP VS Hold,[A][LB][RB]
72,62,mapping,Toggle AP FLC,[A][X][LB][RB]
73,62,mapping,Dec AP Ref AirSpeed,[A][X][LB]
74,62,mapping,Inc AP Ref AirSpeed,[A][X][RB]
75,62,mapping,Decrease AP Ref VS,[A][X][LB]
76,62,mapping,Increase AP Ref VS,[A][X][RB]
77,,category,Communication,
78,77,mapping,TogglePushback,[RP1][RT]
79,77,mapping,Open Comm Panel,[RP1][LB]
