id,parentId,type,name,mapping,exclude
1,,category,__MM_META__,,1
2,1,category,__MM_SYS__,,1
3,2,mapping,outputStyle,mono,1
4,2,mapping,controller,xbox,1
5,2,mapping,columns,3,1
6,2,mapping,fontSize,9,1
7,2,mapping,buttonStyle,promptfont,1
8,2,mapping,fontSource,ghpages,1
9,2,category,__MM_SYS_HEADER__,,1
10,9,mapping,headerBg,#333,1
11,9,mapping,headerColor,#fff,1
12,2,category,__MM_SYS_SECTION__,,1
13,12,mapping,sectionBorder,#bbb,1
14,12,mapping,sectionAccent,#555,1
15,12,mapping,sectionBg,#fff,1
16,2,category,__MM_SYS_ROW__,,1
17,16,mapping,zebraRow,#f2f2f2,1
18,16,mapping,rowBorder,#ccc,1
19,16,mapping,nameColor,#444,1
20,2,category,__MM_SYS_SUBCAT__,,1
21,20,mapping,subCatBg,#666,1
22,20,mapping,subCatColor,#fff,1
23,2,category,__MM_SYS_MISC__,,1
24,23,mapping,colDivider,#ccc,1
25,23,mapping,sepColor,#aaa,1
26,23,mapping,pageBg,#fff,1
27,1,category,__MM_USER__,,1
28,27,mapping,Edited by,Crowell,1
29,27,mapping,Cheatsheet Version,2024/11/28,1
30,,category,MSFS2024 Crowell Setting,,0
31,30,category,Flight Control Surfaces,,0
32,31,mapping,Ailerons Axis,[LS:X],0
33,31,mapping,Elevator Axis,[LS:Y],0
34,31,mapping,Rudder Axis Left,[LT],0
35,31,mapping,Rudder Axis Right,[RT],0
36,31,mapping,Decrease Flaps,[B]+[▲],0
37,31,mapping,Increase Flaps,[B]+[▼],0
38,31,mapping,Toggle Spoilers,[B]+[▶],0
39,31,mapping,Toggle Arm Spoilers,[B]+[Y]+[▶],0
40,31,mapping,Elevator Trim Down,[Y],0
41,31,mapping,Elevator Trim Up,[X],0
42,31,mapping,Aileron Trim,[B]+[LS:X],0
43,31,mapping,Set Aileron Trim (0),[B]+[LS:Y],0
44,31,mapping,Rudder Trim,[B]+[Y]+[LS:X],0
45,31,mapping,Rudder Trim Reset,[B]+[Y]+[LS:Y],0
46,30,category,Power Management,,0
47,46,category,Throttle,,0
48,47,mapping,Decrease Throttle,[LB],0
49,47,mapping,Increase Throttle,[RB],0
50,47,mapping,Throttle Next Detent,[B]+[RB],0
51,47,mapping,Throttle Prev Detent,[B]+[LB],0
