id,parentId,type,name,mapping,exclude
1,,category,MSFS2024 Controls,,0
2,1,mapping,Gamepad 2024 Planes.xml + Gamepad 2024 Transversal.xml,,1
3,,category,AIRCRAFT,,0
4,3,mapping,Autopilot Disengage Toggle,[RB][▲],0
5,3,mapping,Elev Trim Dn,[RB][RS:Up],0
6,3,mapping,Elev Trim Up,[RB][RS:Down],0
7,3,mapping,Flaps Decr,[▲],0
8,3,mapping,Flaps Incr,[▼],0
9,3,mapping,Gear Toggle,[▶],0
10,3,mapping,Parking Brakes,[RB][X],0
11,3,mapping,Smoke Toggle,[Y],0
12,3,mapping,Spoilers Toggle,[RB][Y],0
13,3,mapping,Spray Toggle,[Y],0
14,3,mapping,Throttle Cut,[RB][B],0
15,3,mapping,Throttle Full,[RB][A],0
16,,category,BASIC_CONTROL,,0
17,16,mapping,Brakes,[X],0
18,,category,INSTRUMENTS_CONTROL,,0
19,18,mapping,Engine Auto Shutdown,Hold [RB][▼],0
20,18,mapping,Engine Auto Start,[RB][▼],0
21,,category,PLANE,,0
22,21,mapping,Firefighting Scoop Doors,[Y],0
23,21,mapping,G Limiter Toggle,[RB][▲],0
24,21,mapping,Grapple Hook Toggle,[RB][Y],0
25,21,mapping,Lead Pole Toggle,[Y],0
26,21,mapping,Skydive Doorlights Dec,[Y],0
27,21,mapping,Skydive Doorlights Inc,[RB][Y],0
28,21,mapping,Toggle Tail Hook Handle,[RB][▶],0
29,21,mapping,Toggle Water Rudder,[RB][▶],0
30,,category,RUDDER_AXIS,,0
31,30,mapping,Rudder Axis Minus,[LT],0
32,30,mapping,Rudder Axis Plus,[RT],0
33,,category,SURFACES,,0
34,33,mapping,Axis Ailerons Set,[LS:X],0
35,33,mapping,Axis Elevator Set,[LS:Y],0
36,,category,THROTTLE,,0
37,36,mapping,Throttle Decr,[B],0
38,36,mapping,Throttle Incr,[A],0
39,,category,ALWAYS,,0
40,39,mapping,Debug Telemetry,[Back][Start][LT][RT],0
41,39,mapping,Force Safe Boot,[Start],0
42,39,mapping,Menu Sr Efb Toggle,[LB][Back],0
43,39,mapping,Reset Camera Vr,[RS],0
44,,category,COCKPIT_CAMERA,,0
45,44,mapping,Cockpit Mode Hold,[LB],0
46,44,mapping,Cockpit Quickview3,[LB][▶],0
47,44,mapping,Cockpit Quickview4,[LB][◀],0
48,,category,COCKPIT_GLOBAL_CAMERA,,0
49,48,mapping,Cockpit Look Down,[RS:Down],0
50,48,mapping,Cockpit Look Left,[RS:Left],0
51,48,mapping,Cockpit Look Right,[RS:Right],0
52,48,mapping,Cockpit Look Up,[RS:Up],0
53,,category,COCKPIT_GLOBAL_CAMERA_TRANSLATE,,0
54,53,mapping,Cockpit Camera Height Dec Lockable,[LT],0
55,53,mapping,Cockpit Camera Height Inc Lockable,[RT],0
56,53,mapping,Cockpit Camera Slide Back Lockable,[LS:Down],0
57,53,mapping,Cockpit Camera Slide Front Lockable,[LS:Up],0
58,53,mapping,Cockpit Camera Slide Left Lockable,[LS:Left],0
59,53,mapping,Cockpit Camera Slide Right Lockable,[LS:Right],0
60,,category,COCKPIT_INTERACTIONS_LOCK,,0
61,60,mapping,Cockpit Interaction Decrease Lockable,[LT],0
62,60,mapping,Cockpit Interaction Increase Lockable,[RT],0
63,60,mapping,Cockpit Interaction Primary Lockable,[A],0
64,60,mapping,Cockpit Interaction Secondary Lockable,[X],0
65,60,mapping,Cockpit Interaction Tertiary Lockable,[Y],0
66,60,mapping,Cockpit Interaction X Axis Lockable,[RS:X],0
67,60,mapping,Cockpit Interaction Y Axis Lockable,[RS:Y],0
68,,category,CURSOR,,0
69,68,mapping,Cursor Down,[LS:Down],0
70,68,mapping,Cursor Left,[LS:Left],0
71,68,mapping,Cursor Right,[LS:Right],0
72,68,mapping,Cursor Up,[LS:Up],0
73,,category,CURSOR_MODE_SWITCHES,,0
74,73,mapping,Cursor Toggle,[RB][LS],0
75,,category,DEBUG,,0
76,75,mapping,Debug Menu Down,[▼],0
77,75,mapping,Debug Menu Left,[◀],0
78,75,mapping,Debug Menu Right,[▶],0
79,75,mapping,Debug Menu Up,[▲],0
80,75,mapping,Debug Menu Valid,[A],0
81,75,mapping,Debug Pad Back,[Back],0
82,75,mapping,Debug Pad Down,[▼],0
83,75,mapping,Debug Pad Left,[◀],0
84,75,mapping,Debug Pad Left Button,[LB],0
85,75,mapping,Debug Pad Left Stick,[LS],0
86,75,mapping,Debug Pad Left Trigger,[LT],0
87,75,mapping,Debug Pad Lstick Down,[LS:Down],0
88,75,mapping,Debug Pad Lstick Left,[LS:Left],0
89,75,mapping,Debug Pad Lstick Right,[LS:Right],0
90,75,mapping,Debug Pad Lstick Up,[LS:Up],0
91,75,mapping,Debug Pad Right,[▶],0
92,75,mapping,Debug Pad Right Button,[RB],0
93,75,mapping,Debug Pad Right Stick,[RS],0
94,75,mapping,Debug Pad Right Trigger,[RT],0
95,75,mapping,Debug Pad Rstick Down,[RS:Down],0
96,75,mapping,Debug Pad Rstick Left,[RS:Left],0
97,75,mapping,Debug Pad Rstick Right,[RS:Right],0
98,75,mapping,Debug Pad Rstick Up,[RS:Up],0
99,75,mapping,Debug Pad Start,[Start],0
100,75,mapping,Debug Pad Up,[▲],0
101,,category,DRONE,,0
102,101,mapping,Drone Active View Bottom,[▼],0
103,101,mapping,Drone Auto Exposure,[X][▲],0
104,101,mapping,Drone Auto Focus,[X][▼],0
105,101,mapping,Drone Axis Rotation Z,[LB][RS:X],0
106,101,mapping,Drone Decrease Camera Speed,[RB][▼],0
107,101,mapping,Drone Decrease Drone Speed,[RB][B],0
108,101,mapping,Drone Depth Field Less,[LB][LT],0
109,101,mapping,Drone Depth Field Plus,[LB][RT],0
110,101,mapping,Drone Exposure Less,[X][LB],0
111,101,mapping,Drone Exposure Plus,[X][RB],0
112,101,mapping,Drone Increase Camera Speed,[RB][▲],0
113,101,mapping,Drone Increase Drone Speed,[RB][A],0
114,101,mapping,Drone Look To Next Target,[LB][▶],0
115,101,mapping,Drone Look To Previous Target,[LB][◀],0
116,101,mapping,Drone Reset Horizon,[RS],0
117,101,mapping,Drone Target Object,[LB][B],0
118,101,mapping,Drone Toggle Free Follow Mode,[A],0
119,101,mapping,Drone Toggle Lock Mode,[B],0
120,,category,DRONE_GLOBAL,,0
121,120,mapping,Drone Axis Rotation X,[RS:Y],0
122,120,mapping,Drone Axis Rotation Y,[RS:X],0
123,120,mapping,Drone Axis Translation X,[LS:X],0
124,120,mapping,Drone Axis Translation Z,[LS:Y],0
125,120,mapping,Drone Move Down,[LT],0
126,120,mapping,Drone Move Up,[RT],0
127,120,mapping,Drone Reset Target Offset,[LB][RS],0
128,120,mapping,Drone Zoom In,[Y][RT],0
129,120,mapping,Drone Zoom Out,[Y][LT],0
130,,category,EFB,,0
131,130,mapping,Efb Down,[▼] or [LS:Down],0
132,130,mapping,Efb Nav App Next,[▶],0
133,130,mapping,Efb Nav App Prev,[◀],0
134,130,mapping,Efb Nav Tabs Next,[RB],0
135,130,mapping,Efb Nav Tabs Prev,[LB],0
136,130,mapping,Efb Notifications Menu,[RS],0
137,130,mapping,Efb Scroll Down,[RS:Down],0
138,130,mapping,Efb Scroll Left,[RS:Left],0
139,130,mapping,Efb Scroll Right,[RS:Right],0
140,130,mapping,Efb Scroll Up,[RS:Up],0
141,130,mapping,Efb Secondary,[X],0
142,130,mapping,Efb Tertiary,[Y],0
143,130,mapping,Efb Up,[▲] or [LS:Up],0
144,130,mapping,Efb Valid,[A],0
145,130,mapping,Efb Zoom In,[RT],0
146,130,mapping,Efb Zoom Out,[LT],0
147,,category,EFB_CORE,,0
148,147,mapping,Efb Back,[B],0
149,147,mapping,Efb Textbox Down,[▼] or [LS:Down],0
150,147,mapping,Efb Textbox Left,[◀] or [LS:Left],0
151,147,mapping,Efb Textbox Right,[▶] or [LS:Right],0
152,147,mapping,Efb Textbox Up,[▲] or [LS:Up],0
153,147,mapping,Efb Valid Text,[A],0
154,,category,EXTERNAL_CAMERA,,0
155,154,mapping,Camerachase Reset,[RS],0
156,154,mapping,Chase Look Down,[RS:Up],0
157,154,mapping,Chase Look Left,[RS:Right],0
158,154,mapping,Chase Look Right,[RS:Left],0
159,154,mapping,Chase Look Up,[RS:Down],0
160,154,mapping,Chase Quickview1,[LB][▶],0
161,154,mapping,Chase Quickview2,[LB][▲],0
162,154,mapping,Chase Quickview3,[LB][◀],0
163,154,mapping,Chase Quickview4,[LB][▼],0
164,,category,FIXED_CAMERA,,0
165,164,mapping,Fixed Cam Cycle,[LB][▶],0
166,,category,INGAME_UI,,0
167,166,mapping,Active Pause Toggle,[LB][Y],0
168,166,mapping,Gui Display All Assistances Toggle,[LS],0
169,166,mapping,Ingamepanel Zoom In,[RT],0
170,166,mapping,Ingamepanel Zoom Out,[LT],0
171,166,mapping,Menu Sr Com Panel Open,Hold [◀],0
172,166,mapping,Sr Com Quick Reply,[◀],0
173,,category,INSTRUMENTS_CAMERA,,0
174,173,mapping,Cockpit Backcycle,[LB][◀],0
175,173,mapping,Cockpit Cycle,[LB][▶],0
176,,category,MENU,,0
177,176,mapping,Menu Sr Accessibility,[Y],0
178,176,mapping,Menu Sr Aircraft Config,[Back],0
179,176,mapping,Menu Sr Aircraft Selection,[Y],0
180,176,mapping,Menu Sr Album Fly There,[Y],0
181,176,mapping,Menu Sr Album Save Console,[Start],0
182,176,mapping,Menu Sr Bottom Move Down,[LB][RS:Down] or [LB][▼],0
183,176,mapping,Menu Sr Bottom Move Up,[LB][RS:Up] or [LB][▲],0
184,176,mapping,Menu Sr Career Reset,[Start][Back],0
185,176,mapping,Menu Sr Carousel Down,[LS:Down] or [▼],0
186,176,mapping,Menu Sr Carousel Left,[LS:Left] or [◀],0
187,176,mapping,Menu Sr Carousel Right,[LS:Right] or [▶],0
188,176,mapping,Menu Sr Carousel Up,[LS:Up] or [▲],0
189,176,mapping,Menu Sr Certif Tree Zoom Decr,[LT],0
190,176,mapping,Menu Sr Certif Tree Zoom Incr,[RT],0
191,176,mapping,Menu Sr Character Rotate Left,[RS:Left],0
192,176,mapping,Menu Sr Character Rotate Right,[RS:Right],0
193,176,mapping,Menu Sr Down,[LS:Down] or [▼],0
194,176,mapping,Menu Sr Erase Mapping,[X],0
195,176,mapping,Menu Sr Explore Fp,[Y],0
196,176,mapping,Menu Sr Explore Wm,Hold [Y],0
197,176,mapping,Menu Sr Favorites,[X],0
198,176,mapping,Menu Sr Fp Cloud Toggle,[X],0
199,176,mapping,Menu Sr Left,[LS:Left] or [◀],0
200,176,mapping,Menu Sr Manage Flight Plan,[LS],0
201,176,mapping,Menu Sr Market Options,[Start],0
202,176,mapping,Menu Sr Market Uninstall,[X],0
203,176,mapping,Menu Sr Plane Stats,[X],0
204,176,mapping,Menu Sr Preflight,[Start],0
205,176,mapping,Menu Sr Release Notes,[Y],0
206,176,mapping,Menu Sr Reset To Default,[X],0
207,176,mapping,Menu Sr Right,[LS:Right] or [▶],0
208,176,mapping,Menu Sr Screen Narrator Toggle,[LS],0
209,176,mapping,Menu Sr Scroll To Top,[Y],0
210,176,mapping,Menu Sr Sub Next,[RT],0
211,176,mapping,Menu Sr Sub Prev,[LT],0
212,176,mapping,Menu Sr Top Move Down,[RB][RS:Down] or [RB][▼],0
213,176,mapping,Menu Sr Top Move Up,[RB][RS:Up] or [RB][▲],0
214,176,mapping,Menu Sr Up,[LS:Up] or [▲],0
215,176,mapping,Menu Sr Wrap Toggle,[Y],0
216,,category,MENU_CORE,,0
217,216,mapping,Menu Sr Back,[B],0
218,216,mapping,Menu Sr More Details,[X],0
219,216,mapping,Menu Sr Next,[RB],0
220,216,mapping,Menu Sr Prev,[LB],0
221,216,mapping,Menu Sr Scroll Down,[RS:Down],0
222,216,mapping,Menu Sr Scroll Left,[RS:Left],0
223,216,mapping,Menu Sr Scroll Right,[RS:Right],0
224,216,mapping,Menu Sr Scroll Up,[RS:Up],0
225,216,mapping,Menu Sr Textbox Down,[▼] or [LS:Down],0
226,216,mapping,Menu Sr Textbox Left,[◀] or [LS:Left],0
227,216,mapping,Menu Sr Textbox Right,[▶] or [LS:Right],0
228,216,mapping,Menu Sr Textbox Up,[▲] or [LS:Up],0
229,216,mapping,Menu Sr Tips,[Back],0
230,216,mapping,Menu Sr Touchpoint,[LS],0
231,216,mapping,Menu Sr Valid Text,[A],0
232,,category,MENU_GLOBAL,,0
233,232,mapping,Menu Sr Bar Shortcut,[RS],0
234,232,mapping,Menu Sr Legend Toggle,[Back],0
235,232,mapping,Menu Sr Map Search,[Start],0
236,232,mapping,Menu Sr Menu Search,[LS],0
237,232,mapping,Menu Sr Valid,[A],0
238,232,mapping,Menu Sr Wm List Toggle,[Y],0
239,232,mapping,Menu Sr Wm Recenter,[LS],0
240,232,mapping,Menu Sr Wm Zoom Decr,[LT],0
241,232,mapping,Menu Sr Wm Zoom Incr,[RT],0
242,232,mapping,Sr Menu Change Objective,[X],0
243,232,mapping,Menu Fly,[Start],0
244,,category,MISSION_FLOW_TOOLS,,0
245,244,mapping,Flight Phase Next,Hold [Back],0
246,,category,MODE_INTERACTION,,0
247,246,mapping,Interaction Lock,[A],0
248,246,mapping,Interaction Unlock,[B] or [RB][LS],0
249,,category,MODE_PAUSE,,0
250,249,mapping,Pause Off,[Start] or [B],0
251,249,mapping,Pause Toggle,[Start],0
252,,category,MODES,,0
253,252,mapping,Cockpit Reset,[RS],0
254,252,mapping,Cycle Pilotview Back,[LB][▼],0
