id,parentId,type,name,mapping,exclude
1,,category,👋 Mapping Manager へようこそ,,0
2,1,mapping,このアプリの使い方を説明します,,0
3,1,category,🎮 ボタン入力,,0
4,3,mapping,🎮ボタンでコントローラー入力。右上のコントローラー設定に従ったボタンが入力されます,,0
5,3,mapping,下ボタン（Xbox:A / Switch:B / PS:×）,[A],0
6,3,mapping,右ボタン（Xbox:B / Switch:A / PS:○）,[B],0
7,3,mapping,左ボタン（Xbox:X / Switch:Y / PS:□）,[X],0
8,3,mapping,上ボタン（Xbox:Y / Switch:X / PS:△）,[Y],0
9,3,mapping,同時押し,[A][B],0
10,3,mapping,ショルダーボタン,[LB][RB],0
11,3,mapping,トリガー,[LT][RT],0
12,3,mapping,スタート・バック,[Start][Back],0
13,1,category,🕹️ スティック入力,,0
14,13,mapping,左スティック 水平,[LS:X],0
15,13,mapping,左スティック 垂直,[LS:Y],0
16,13,mapping,左スティック 全方向,[LS:XY],0
17,13,mapping,右スティック 全方向,[RS:XY],0
18,13,mapping,スティック押込み,[LS][RS],0
19,1,category,🎯 十字キー,,0
20,19,mapping,上,[▲],0
21,19,mapping,下,[▼],0
22,19,mapping,左,[◀],0
23,19,mapping,右,[▶],0
24,19,mapping,斜め入力,[▲▶],0
25,1,category,⌨️ テキスト表現,,0
26,25,mapping,ボタン＋テキスト,[A]長押し,0
27,25,mapping,パドルボタン（Gamepad API非対応）,[LP1],0
28,25,mapping,複数パドル,[LP1][LP2],0
29,25,mapping,テキストのみ,説明文もそのまま表示,0
30,25,mapping,混在,[LB]を押しながら[LS:XY],0
31,1,category,⌨️ キーボード入力,,0
32,31,mapping,⌨️ボタンでキーボード入力,,0
33,31,mapping,単キー,{W},0
34,31,mapping,修飾キー＋キー,{Ctrl}{C},0
35,31,mapping,方向キー,{Up},0
36,31,mapping,ファンクションキー,{F5},0
37,1,category,☑ 出力除外,,0
38,37,mapping,左端のチェックボックスがONのアイテムは出力されます,,0
39,37,mapping,チェックボックスをOFFにすると出力から除外されます,,1
40,37,category,カテゴリごと除外も可,,1
41,40,mapping,親が除外されると子も除外,,0
42,1,category,大カテゴリ,,0
43,42,mapping,カテゴリはアイテムをグループ化します,,0
44,42,mapping,カテゴリは複数ネストできます,,0
45,42,category,小カテゴリ,,0
46,45,mapping,3階層以上のネストがある場合 外側のカテゴリから順に見出し（H2・H3…）大カテゴリ、小カテゴリとして扱われます,,0
47,45,mapping,このチュートリアルには3階層のネストがあるため ルートのカテゴリはすべてH2見出しとして扱われます,,0
48,45,mapping,ファイル内に2階層以下のネストしかない場合、ルートのカテゴリは全て大カテゴリとして扱われます。,,0
49,45,mapping,カテゴリ名の横のバッジで出力時の役割を確認できます,,0
50,1,category,📄 レイアウト要素,,0
51,50,mapping,セパレーター: 項目間に横線を引きます,,0
52,50,separator,,,0
53,50,mapping,改ページ: ↓ここでページを区切ります。次のセクションは次ページから始まります,,0
54,50,pagebreak,,,0
55,1,category,💡 ヒント,,0
56,55,mapping,↑改ページにより このカテゴリは次のページから始まっています,,0
57,55,mapping,左端のハンドルをドラッグ＆ドロップで並び替えできます,,0
58,55,mapping,右クリックでコンテキストメニュー,,0
59,55,mapping,Ctrl+Z で元に戻す,,0
60,55,mapping,Ctrl+S でCSV保存,,0
61,55,mapping,チートシート出力でPDF印刷可,,0
